epoch,train_loss,valid_auc,valid_nll
1,0.5981,0.6597,0.587
2,0.5863,0.6646,0.5842
3,0.5848,0.6652,0.584
4,0.5845,0.6657,0.5835
5,0.5838,0.6667,0.583
6,0.5836,0.667,0.583
7,0.5831,0.6675,0.5826
8,0.5828,0.6678,0.5826
9,0.5826,0.668,0.5825
10,0.5824,0.6679,0.5826
11,0.5822,0.668,0.5826
12,0.582,0.6682,0.5825
13,0.582,0.6678,0.5828
14,0.582,0.668,0.5828
15,0.5818,0.6679,0.5828
16,0.5817,0.6682,0.5827
17,0.5819,0.6674,0.5829
18,0.5819,0.6677,0.583
19,0.5816,0.6673,0.583
20,0.5816,0.6672,0.5832
21,0.5814,0.6673,0.5833
22,0.5814,0.6673,0.5832
