k_min,pmi_min,topk,raw_support_rows,unique_edges,edge_density,pmi_mean,pmi_median,pmi_p25,pmi_p75,frac_skills_with_neighbor,density_lt_80,density_lt_50,density_lt_25
2,0.0,None,272184,272184,0.7234,1.2993,1.1083,0.6119,1.7772,0.9401,Yes,No,No
2,0.25,10,251061,6875,0.0183,2.5017,2.2282,1.5675,3.2549,0.9401,Yes,Yes,Yes
2,1.0,20,147694,13176,0.035,2.591,2.2898,1.779,3.3884,0.8779,Yes,Yes,Yes
3,0.25,50,226553,31845,0.0846,2.3296,2.0762,1.4771,3.1371,0.9286,Yes,Yes,Yes
3,1.0,100,129318,51624,0.1372,2.3483,2.1522,1.691,2.9672,0.8664,Yes,Yes,Yes
5,0.25,None,169217,169217,0.4497,1.2137,1.0423,0.6553,1.6115,0.8675,Yes,Yes,No
5,0.5,10,147430,5717,0.0152,2.2995,2.0885,1.4913,2.999,0.8675,Yes,Yes,Yes
10,0.0,20,136325,10099,0.0268,2.0325,1.9221,1.344,2.5411,0.788,Yes,Yes,Yes
10,0.5,50,108785,24007,0.0638,1.8333,1.848,1.2273,2.2586,0.788,Yes,Yes,Yes
20,0.0,100,101695,37664,0.1001,1.4846,1.4333,0.9905,1.8791,0.6982,Yes,Yes,Yes
20,0.5,None,82481,82481,0.2192,1.1948,1.0584,0.7585,1.5426,0.6982,Yes,Yes,Yes
20,1.0,10,44041,3984,0.0106,1.9978,1.9112,1.5325,2.3655,0.6359,Yes,Yes,Yes
50,0.25,20,40312,6225,0.0165,1.5544,1.5654,1.0999,1.9613,0.5173,Yes,Yes,Yes
50,1.0,50,17856,10515,0.0279,1.683,1.7807,1.2694,1.9756,0.4551,Yes,Yes,Yes
100,0.25,100,9192,8858,0.0235,0.871,0.8953,0.6233,1.0031,0.2604,Yes,Yes,Yes
100,1.0,None,2241,2241,0.006,1.243,1.1685,1.0719,1.3685,0.197,Yes,Yes,Yes
