dataset,candidate,test_auc
assist2012,e_pre,0.5553333333333333
assist2012,e_pre_e_sim,0.5553333333333333
assist2012,full_lc_mrsg,0.5655666666666667
assist2012,no_graph,0.5553333333333333
assist2012,relation_gated,0.5655666666666667
assist2012,relation_gated_1,0.5656333333333333
assist2012,relation_gated_2,0.5553333333333333
assist2012,sparse_aware_relation_gated,0.5655666666666667
assist2012,val_selected_static,0.5655666666666667
junyi,e_pre,0.6079
junyi,e_pre_e_sim,0.6079
junyi,full_lc_mrsg,0.6119
junyi,no_graph,0.6060666666666666
junyi,relation_gated,0.6136333333333334
junyi,relation_gated_1,0.6127333333333334
junyi,relation_gated_2,0.6079
junyi,sparse_aware_relation_gated,0.6136333333333334
junyi,val_selected_static,0.6119
kdd2010,e_pre,0.7272333333333333
kdd2010,e_pre_e_sim,0.7277333333333333
kdd2010,full_lc_mrsg,0.7272333333333333
kdd2010,no_graph,0.7272333333333333
kdd2010,relation_gated,0.7277333333333333
kdd2010,relation_gated_1,0.7272333333333333
kdd2010,relation_gated_2,0.7277333333333333
kdd2010,sparse_aware_relation_gated,0.7277333333333333
kdd2010,val_selected_static,0.7277333333333333
