dataset,model,epoch,train_loss,valid_auc
assist2012,dkt,1,0.6306337576646072,0.5989444280194383
assist2012,dkt,2,0.6053341581271245,0.6063737264522893
assist2012,dkt,3,0.5944130604083722,0.6118403044391764
assist2012,dkt,4,0.5877936344880325,0.6158764145517535
assist2012,dkt,5,0.5807655637080853,0.6198600997258039
assist2012,dkt,6,0.5740811778948858,0.6176195939683553
assist2012,dkt,7,0.57017982006073,0.6129807432454454
assist2012,dkt,8,0.5683426811144903,0.6091234235032108
assist2012,dkt,9,0.5627934336662292,0.6087961165692266
assist2012,dkt,10,0.5586269153998449,0.6061836482332945
assist2012,simplekt,1,0.6300031542778015,0.6020492957028187
assist2012,simplekt,2,0.5996642250281113,0.611431755502595
assist2012,simplekt,3,0.587968280682197,0.6191614327403928
assist2012,simplekt,4,0.5802211027878982,0.620952964317697
assist2012,simplekt,5,0.5734244722586411,0.623207732424456
assist2012,simplekt,6,0.5659066209426293,0.6215909413204442
assist2012,simplekt,7,0.5596955647835364,0.615236751998633
assist2012,simplekt,8,0.5554662576088538,0.6105481660993303
assist2012,simplekt,9,0.552695829134721,0.6083456475118282
assist2012,simplekt,10,0.5503230415857755,0.6084476754267185
junyi,dkt,1,0.5972091670219715,0.661961423547095
junyi,dkt,2,0.5850131488763369,0.664761058216597
junyi,dkt,3,0.583973730985935,0.666510484456422
junyi,dkt,4,0.5830697944531074,0.6662589120760684
junyi,dkt,5,0.5828883991791651,0.667749647240786
junyi,dkt,6,0.5822519109799311,0.6683953472386318
junyi,dkt,7,0.5817663234013778,0.6682948567380993
junyi,dkt,8,0.5813754980380719,0.6680263253091276
junyi,dkt,9,0.5812253745702597,0.6681689233348431
junyi,dkt,10,0.5810392888692709,0.6675296538488092
junyi,simplekt,1,0.595912869159992,0.6662762103769732
junyi,simplekt,2,0.5831543780290164,0.6692423578114609
junyi,simplekt,3,0.5821405809659225,0.6695689334728834
junyi,simplekt,4,0.581633774133829,0.6692261169996659
junyi,simplekt,5,0.5814326749398158,0.6690684696202613
junyi,simplekt,6,0.5812012301041529,0.6691608634014299
junyi,simplekt,7,0.5810648019497211,0.6692987984910612
junyi,simplekt,8,0.5809440933741056,0.6694142471648635
junyi,simplekt,9,0.5808158975381118,0.669503409389716
junyi,simplekt,10,0.5806819360989791,0.6694290769724033
