dataset,fold,relation,n_skills,max_possible_undirected_pairs,raw_rows_in_edge_file,unique_directed_edges,unique_undirected_edges,mirrored_edge_pairs,self_loops,duplicate_rows,support_records,mean_support,median_support,min_weight,max_weight,mean_weight,is_unique_undirected_valid,interpretation
assist2012,0,E_pre,255,32385,254,254,254,0,0,0,310148,1221.06,370,1.0,1.0,1.0,yes,unique_edges
assist2012,0,E_sim,255,32385,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,yes,empty_graph
assist2012,0,E_co,244,29646,20308,20308,10154,10154,0,0,1046994,51.56,17,0.0005,7.8846,1.2127,yes,unique_edges
assist2012,1,E_pre,255,32385,254,254,254,0,0,0,310097,1220.85,417,1.0,1.0,1.0,yes,unique_edges
assist2012,1,E_sim,255,32385,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,yes,empty_graph
assist2012,1,E_co,242,29161,20138,20138,10069,10069,0,0,1029904,51.14,16,0.0012,7.3738,1.1944,yes,unique_edges
assist2012,2,E_pre,256,32640,255,255,255,0,0,0,309322,1213.03,430,1.0,1.0,1.0,yes,unique_edges
assist2012,2,E_sim,256,32640,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,yes,empty_graph
assist2012,2,E_co,242,29161,20046,20046,10023,10023,0,0,1036630,51.71,17,0.0003,7.4791,1.2084,yes,unique_edges
junyi,0,E_pre,10,45,9,9,9,0,0,0,695165,77240.56,46882,1.0,1.0,1.0,yes,unique_edges
junyi,0,E_sim,10,45,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,yes,empty_graph
junyi,0,E_co,10,45,50,50,25,25,0,0,50232,1004.64,69,0.0304,3.0148,0.7942,yes,unique_edges
junyi,1,E_pre,10,45,9,9,9,0,0,0,691933,76881.44,47999,1.0,1.0,1.0,yes,unique_edges
junyi,1,E_sim,10,45,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,yes,empty_graph
junyi,1,E_co,10,45,46,46,23,23,0,0,50022,1087.43,72,0.0468,2.93,0.8022,yes,unique_edges
junyi,2,E_pre,10,45,9,9,9,0,0,0,646683,71853.67,45966,1.0,1.0,1.0,yes,unique_edges
junyi,2,E_sim,10,45,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,yes,empty_graph
junyi,2,E_co,10,45,44,44,22,22,0,0,49976,1135.82,93,0.1941,3.0419,0.9292,yes,unique_edges
kdd2010,0,E_pre,868,376278,867,867,867,0,0,0,2127840,2454.26,973,1.0,1.0,1.0,yes,unique_edges
kdd2010,0,E_sim,267,35511,397,397,397,0,0,0,71102,179.1,52,0.1,1.0,0.2514,yes,unique_edges
kdd2010,0,E_co,816,332520,544368,544368,272184,272184,0,0,13439966,24.69,10,0.0001,5.7398,1.2993,yes,unique_edges
kdd2010,1,E_pre,899,403651,898,898,898,0,0,0,2129974,2371.91,876,1.0,1.0,1.0,yes,unique_edges
kdd2010,1,E_sim,279,38781,412,412,412,0,0,0,73158,177.57,51,0.1009,1.0,0.2518,yes,unique_edges
kdd2010,1,E_co,881,387640,708620,708620,354310,354310,0,0,14863746,20.98,9,0.0002,5.7398,1.5355,yes,unique_edges
kdd2010,2,E_pre,900,404550,899,899,899,0,0,0,2154581,2396.64,917,1.0,1.0,1.0,yes,unique_edges
kdd2010,2,E_sim,283,39903,412,412,412,0,0,0,76507,185.7,53,0.1,1.0,0.2526,yes,unique_edges
kdd2010,2,E_co,886,392055,723842,723842,361921,361921,0,0,15629550,21.59,10,0.0001,5.7398,1.5469,yes,unique_edges
