dataset,backbone,mean_auc_no_graph,mean_auc_selected_graph,mean_delta_auc,ci95_low,ci95_high,raw_p,holm_p,holm_significant_yes_no,practical_label,interpretation
assist2012,bkt,0.5553,0.5656,0.0102,0.0091,0.0114,2.076264464571656e-07,2.9067702504003177e-06,yes,practically meaningful,confirmatory
assist2012,dkt,0.6133,0.6171,0.0038,0.0021,0.0056,0.0041045890641191,0.0451504797053105,yes,moderate,confirmatory
assist2012,simplekt,0.6185,0.6241,0.0056,0.0033,0.0078,0.0017586783132175,0.022862818071828,yes,moderate,confirmatory
assist2012,gikt,0.618,0.6249,0.0069,0.0035,0.0109,0.0088481044109463,0.0884810441094635,no,moderate,diagnostic_only
assist2012,skt,0.608,0.612,0.004,0.0015,0.0066,0.0204555050505863,0.1154145684963261,no,moderate,diagnostic_only
junyi,bkt,0.6061,0.6136,0.0076,0.0068,0.0082,4.6180416509336906e-08,6.927062476400536e-07,yes,practically meaningful,confirmatory
junyi,dkt,0.6655,0.6667,0.0012,0.0006,0.002,0.0120748007820841,0.1086732070387574,no,small,diagnostic_only
junyi,simplekt,0.6686,0.669,0.0005,0.0002,0.0007,0.015276374605036,0.1154145684963261,no,negligible,diagnostic_only
junyi,gikt,0.6651,0.6662,0.0011,0.0006,0.0016,0.0024506692536559,0.0294080310438715,yes,small,confirmatory
junyi,skt,0.6687,0.669,0.0003,-0.0003,0.0008,0.3691792572749794,0.3691792572749794,no,negligible,diagnostic_only
kdd2010,bkt,0.7272,0.7277,0.0005,0.0002,0.0008,0.0144268210620407,0.1154145684963261,no,negligible,diagnostic_only
kdd2010,dkt,0.6098,0.6232,0.0135,0.0007,0.0252,0.0807331785727522,0.1714323879018687,no,practically meaningful,diagnostic_only
kdd2010,simplekt,0.6312,0.6366,0.0054,0.0012,0.0092,0.0386773517469601,0.1547094069878406,no,moderate,diagnostic_only
kdd2010,gikt,0.6184,0.641,0.0225,0.0084,0.0358,0.0155629858895201,0.1154145684963261,no,practically meaningful,diagnostic_only
kdd2010,skt,0.5808,0.5917,0.0109,0.0022,0.0205,0.0571441293006229,0.1714323879018687,no,practically meaningful,diagnostic_only
