dataset,backbone,candidate,test_auc
assist2012,dkt,e_pre,0.6145999999999999
assist2012,dkt,e_pre_e_sim,0.6150444444444445
assist2012,dkt,full_lc_mrsg,0.6134111111111111
assist2012,dkt,no_graph,0.6133333333333333
assist2012,dkt,relation_gated,0.6161222222222222
assist2012,dkt,relation_gated_1,0.6137111111111111
assist2012,dkt,relation_gated_2,0.610111111111111
assist2012,dkt,sparse_aware_relation_gated,0.6171444444444444
assist2012,dkt,val_selected_static,0.6158333333333333
assist2012,gikt,e_pre,0.6175444444444445
assist2012,gikt,e_pre_e_sim,0.6170333333333333
assist2012,gikt,full_lc_mrsg,0.6191777777777777
assist2012,gikt,no_graph,0.6179666666666667
assist2012,gikt,relation_gated,0.6233444444444445
assist2012,gikt,relation_gated_1,0.6166333333333333
assist2012,gikt,relation_gated_2,0.619388888888889
assist2012,gikt,sparse_aware_relation_gated,0.6249
assist2012,gikt,val_selected_static,0.6225444444444445
assist2012,simplekt,e_pre,0.6202444444444445
assist2012,simplekt,e_pre_e_sim,0.6185777777777778
assist2012,simplekt,full_lc_mrsg,0.6214
assist2012,simplekt,no_graph,0.6184666666666667
assist2012,simplekt,relation_gated,0.6252666666666666
assist2012,simplekt,relation_gated_1,0.6212888888888889
assist2012,simplekt,relation_gated_2,0.6208333333333333
assist2012,simplekt,sparse_aware_relation_gated,0.6240555555555556
assist2012,simplekt,val_selected_static,0.6238555555555556
assist2012,skt,e_pre,0.6002777777777778
assist2012,skt,e_pre_e_sim,0.6046777777777778
assist2012,skt,full_lc_mrsg,0.6054999999999999
assist2012,skt,no_graph,0.6080000000000001
assist2012,skt,relation_gated,0.6112777777777778
assist2012,skt,relation_gated_1,0.6029111111111111
assist2012,skt,relation_gated_2,0.6069888888888889
assist2012,skt,sparse_aware_relation_gated,0.6120111111111112
assist2012,skt,val_selected_static,0.6101555555555556
junyi,dkt,e_pre,0.6661111111111111
junyi,dkt,e_pre_e_sim,0.6651222222222223
junyi,dkt,full_lc_mrsg,0.6656333333333334
junyi,dkt,no_graph,0.6655111111111112
junyi,dkt,relation_gated,0.6666222222222222
junyi,dkt,relation_gated_1,0.6655333333333333
junyi,dkt,relation_gated_2,0.6655666666666666
junyi,dkt,sparse_aware_relation_gated,0.6667333333333334
junyi,dkt,val_selected_static,0.6662222222222222
junyi,gikt,e_pre,0.6648111111111111
junyi,gikt,e_pre_e_sim,0.6643777777777777
junyi,gikt,full_lc_mrsg,0.6656444444444445
junyi,gikt,no_graph,0.6651111111111111
junyi,gikt,relation_gated,0.6662555555555555
junyi,gikt,relation_gated_1,0.6651333333333334
junyi,gikt,relation_gated_2,0.6648333333333334
junyi,gikt,sparse_aware_relation_gated,0.6662333333333333
junyi,gikt,val_selected_static,0.6663555555555556
junyi,simplekt,e_pre,0.6683111111111111
junyi,simplekt,e_pre_e_sim,0.6682666666666667
junyi,simplekt,full_lc_mrsg,0.6681111111111111
junyi,simplekt,no_graph,0.6685666666666666
junyi,simplekt,relation_gated,0.6688444444444445
junyi,simplekt,relation_gated_1,0.6680444444444444
junyi,simplekt,relation_gated_2,0.6685666666666666
junyi,simplekt,sparse_aware_relation_gated,0.6690222222222223
junyi,simplekt,val_selected_static,0.6687666666666667
junyi,skt,e_pre,0.6683444444444445
junyi,skt,e_pre_e_sim,0.6682
junyi,skt,full_lc_mrsg,0.668088888888889
junyi,skt,no_graph,0.6686777777777777
junyi,skt,relation_gated,0.6691333333333334
junyi,skt,relation_gated_1,0.6685666666666666
junyi,skt,relation_gated_2,0.6686333333333333
junyi,skt,sparse_aware_relation_gated,0.6689555555555555
junyi,skt,val_selected_static,0.6687222222222222
kdd2010,dkt,e_pre,0.6104222222222222
kdd2010,dkt,e_pre_e_sim,0.6119222222222223
kdd2010,dkt,full_lc_mrsg,0.6135333333333333
kdd2010,dkt,no_graph,0.6097555555555556
kdd2010,dkt,relation_gated,0.6186888888888888
kdd2010,dkt,relation_gated_1,0.6168555555555556
kdd2010,dkt,relation_gated_2,0.6078
kdd2010,dkt,sparse_aware_relation_gated,0.6232333333333333
kdd2010,dkt,val_selected_static,0.6212
kdd2010,gikt,e_pre,0.6145666666666667
kdd2010,gikt,e_pre_e_sim,0.5990777777777778
kdd2010,gikt,full_lc_mrsg,0.6090777777777778
kdd2010,gikt,no_graph,0.6184444444444445
kdd2010,gikt,relation_gated,0.6399777777777778
kdd2010,gikt,relation_gated_1,0.6270444444444444
kdd2010,gikt,relation_gated_2,0.6007555555555556
kdd2010,gikt,sparse_aware_relation_gated,0.6409777777777778
kdd2010,gikt,val_selected_static,0.6314777777777778
kdd2010,simplekt,e_pre,0.6272777777777778
kdd2010,simplekt,e_pre_e_sim,0.6325999999999999
kdd2010,simplekt,full_lc_mrsg,0.6298666666666667
kdd2010,simplekt,no_graph,0.6312
kdd2010,simplekt,relation_gated,0.6362777777777777
kdd2010,simplekt,relation_gated_1,0.6326666666666667
kdd2010,simplekt,relation_gated_2,0.6334555555555555
kdd2010,simplekt,sparse_aware_relation_gated,0.6366
kdd2010,simplekt,val_selected_static,0.6333555555555556
kdd2010,skt,e_pre,0.5925111111111111
kdd2010,skt,e_pre_e_sim,0.5829222222222222
kdd2010,skt,full_lc_mrsg,0.5793222222222222
kdd2010,skt,no_graph,0.5808111111111111
kdd2010,skt,relation_gated,0.5924111111111111
kdd2010,skt,relation_gated_1,0.5810333333333334
kdd2010,skt,relation_gated_2,0.582288888888889
kdd2010,skt,sparse_aware_relation_gated,0.5917333333333333
kdd2010,skt,val_selected_static,0.5903666666666667
