dataset,model,variant,auc_mean,auc_ci,ece_mean,ece_ci,brier_mean,brier_ci,n_runs
assist2012,bkt,no_graph,0.5553670621973633,0.001545524809945221,0.007288578003639632,0.0016851870496330747,0.20862856323193918,0.0013183993727013924,15
assist2012,bkt,full_lc_mrsg,0.5544333512382956,0.001997531193061171,0.007824026608344052,0.001652764726726208,0.208573676364779,0.001297859596700176,15
assist2012,dkt,no_graph,0.5938961912623479,0.003267697293009043,0.08238609310695647,0.008869084060588717,0.2186658498036432,0.0031925772297044584,15
assist2012,dkt,full_lc_mrsg,0.5921919229125195,0.003702585678946102,0.08363416542692129,0.009550273704309487,0.21931657007663638,0.003116806677766722,15
assist2012,simplekt,no_graph,0.6002923704315754,0.0018475836677236308,0.08117764519272529,0.005036912759325322,0.21758509803707055,0.001586208900409232,15
assist2012,simplekt,full_lc_mrsg,0.6009677987292654,0.002519753747933288,0.07845210343421266,0.0037370578366388877,0.21672025779453535,0.001468619170809393,15
assist2012,gikt,no_graph,0.604472472881501,0.0023918138855337084,0.06315131983416565,0.001962721919089604,0.21312234478108538,0.0013158390301166742,15
assist2012,gikt,full_lc_mrsg,0.6043371515127377,0.0018922928284961062,0.06303759725698406,0.002978446632066713,0.21333802428244494,0.0014741158781428176,15
assist2012,skt,no_graph,0.6143262682750278,0.002155283423817564,0.05416642733120722,0.0018851962646363562,0.20953941012689567,0.0014924717510185767,15
assist2012,skt,full_lc_mrsg,0.6117890162811511,0.0016612093869079938,0.05425529563381201,0.002440944708993497,0.2098471095981285,0.0013353707921238606,15
junyi,bkt,no_graph,0.6060620018827834,0.003260760388386907,0.039718490796976785,0.0010046664607358683,0.20964928681889664,0.00039886768297861443,15
junyi,bkt,full_lc_mrsg,0.6081173020103929,0.0023760148496932533,0.03632381161432612,0.002832430052684421,0.20926780066103443,0.00032991271100721195,15
junyi,dkt,no_graph,0.6661836226342129,0.002814884411894288,0.012327557234470205,0.0018552522322363913,0.19923295330661425,0.0006616883818641938,15
junyi,dkt,full_lc_mrsg,0.6664292715825482,0.00293258884015786,0.011701238274395348,0.002137979937457251,0.199142709678179,0.0007090404491606321,15
junyi,simplekt,no_graph,0.6669871777943092,0.0035606394225813614,0.010253272349125549,0.0019833799319282936,0.19881585262384113,0.0008936182873078874,15
junyi,simplekt,full_lc_mrsg,0.6645146809509729,0.0071591593002027065,0.013012020098355778,0.0029975374305469585,0.19933612327829062,0.001539639071259516,15
junyi,gikt,no_graph,0.6673133908983275,0.002768248200958759,0.011465292640617127,0.0026403306314528277,0.19892836935223038,0.0007046274649597544,15
junyi,gikt,full_lc_mrsg,0.6672529837472764,0.0027769795219827653,0.009624380806969274,0.0028251338608463257,0.1989147159212343,0.0007244674451095883,15
junyi,skt,no_graph,0.6683467951078804,0.002784796384445607,0.011882676579298394,0.0024251761367649347,0.19855334594735818,0.0006435227694588833,15
junyi,skt,full_lc_mrsg,0.6680875215963654,0.002739568777779413,0.010929830373126918,0.0014991037827017672,0.19855379129476766,0.0005835283057511621,15
kdd2010,bkt,no_graph,0.727254975934963,0.003917494122186844,0.04264275899545213,0.0010168762217819996,0.14296513005292008,0.0022782492954007624,15
kdd2010,bkt,full_lc_mrsg,0.7273379582459907,0.003909906311789478,0.042502475670188826,0.0011858772004714909,0.14295452763439861,0.002280316233073839,15
kdd2010,dkt,no_graph,0.7559569789432107,0.006402217464038411,0.06106172700395087,0.00351314095102873,0.14676752849444927,0.00334278489235476,15
kdd2010,dkt,full_lc_mrsg,0.7567729914499556,0.005822805763452529,0.06110278234130338,0.0027399648686252387,0.1464000143760624,0.0033261381564288115,15
kdd2010,simplekt,no_graph,0.7468989459376961,0.006301349019622754,0.07279614056756417,0.003881193479455359,0.15107959413867228,0.0037425677513124914,15
kdd2010,simplekt,full_lc_mrsg,0.7472394484460679,0.0050212731691765215,0.07307742510429026,0.002943038124939827,0.15126995450087785,0.003367346738064707,15
kdd2010,gikt,no_graph,0.7737436559041879,0.005796982840787223,0.04143010064635696,0.002565310556707026,0.13995947528202898,0.0031650362603104095,15
kdd2010,gikt,full_lc_mrsg,0.7724064229374663,0.00544302735279995,0.0398550646696241,0.0028057945751879983,0.13996519503863783,0.0031860087291208012,15
kdd2010,skt,no_graph,0.7595789741733198,0.006095576119902368,0.05018212549844525,0.003323241724601772,0.14410470081634014,0.003184301025151965,15
kdd2010,skt,full_lc_mrsg,0.7589172747024164,0.005910970240957981,0.051118785048626374,0.0029828862801945105,0.14436946132919115,0.003258650944255011,15
